business_name,phone,lat,lng,detail_link
Scout & Molly's Boutique,(512) 992-0044,30.4026947,-97.7224172,https://www.yelp.com/biz/scout-and-mollys-boutique-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Sam Moon - Austin,(512) 382-9686,30.3915061970486,-97.7317414077451,https://www.yelp.com/biz/sam-moon-austin-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Madewell,(512) 821-1593,30.4017753694187,-97.7258898317814,https://www.yelp.com/biz/madewell-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Louis Vuitton Austin Domain,(512) 832-0327,30.4015968,-97.7265919,https://www.yelp.com/biz/louis-vuitton-austin-domain-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Spring Frost Boutique,(512) 467-9100,30.32269,-97.73909,https://www.yelp.com/biz/spring-frost-boutique-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Golden Bones,(512) 904-9550,30.4000651429008,-97.7233153815927,https://www.yelp.com/biz/golden-bones-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Designer Exchange,(512) 452-0606,30.355981,-97.736106,https://www.yelp.com/biz/designer-exchange-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Weathered Coalition,(512) 852-9869,30.40157,-97.72226,https://www.yelp.com/biz/weathered-coalition-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Kendra Scott,(512) 879-3174,30.40256,-97.72588,https://www.yelp.com/biz/kendra-scott-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Crystal Works,(512) 472-5597,30.277298,-97.750592,https://www.yelp.com/biz/crystal-works-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Anthropologie,(512) 873-8429,30.4020274,-97.72663,https://www.yelp.com/biz/anthropologie-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Altar'd State,(512) 339-0088,30.401371639292,-97.726512183424,https://www.yelp.com/biz/altard-state-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
J.Crew,(512) 873-8659,30.4017721723941,-97.7259127610341,https://www.yelp.com/biz/j-crew-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Clothes Mentor,(512) 340-0900,30.38673,-97.74074,https://www.yelp.com/biz/clothes-mentor-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Blue Elephant Boutique,(512) 371-3259,30.308385,-97.739952,https://www.yelp.com/biz/blue-elephant-boutique-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Forever 21,(512) 719-3988,30.4005662248814,-97.7258777618408,https://www.yelp.com/biz/forever-21-austin-3?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Will Leather Goods,(512) 954-9316,30.404853,-97.721346,https://www.yelp.com/biz/will-leather-goods-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Longhorn Fashions,(512) 584-8001,30.2851840513417,-97.7462125883605,https://www.yelp.com/biz/longhorn-fashions-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Brighton Collectibles,(512) 973-8050,30.40209,-97.72563,https://www.yelp.com/biz/brighton-collectibles-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Kittsona,(512) 810-6996,30.4029102,-97.7230494,https://www.yelp.com/biz/kittsona-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Banana Republic,(512) 836-1112,30.4016730806185,-97.7265071605616,https://www.yelp.com/biz/banana-republic-austin-4?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
The Burlap Bag,(512) 677-9825,30.2972026650613,-97.7418617165675,https://www.yelp.com/biz/the-burlap-bag-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Lilly Pulitzer,(512) 835-8200,30.4020193,-97.7256541,https://www.yelp.com/biz/lilly-pulitzer-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
What Women Want Resale Boutique,(512) 331-0767,30.370755,-97.724982,https://www.yelp.com/biz/what-women-want-resale-boutique-austin-3?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Piper's Upscale Resale Shop,(512) 590-5057,30.325518,-97.727193,https://www.yelp.com/biz/pipers-upscale-resale-shop-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
DXL,(512) 418-8557,30.3903654960123,-97.7323143942466,https://www.yelp.com/biz/dxl-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Anthropologie,(512) 236-9301,30.2720706278074,-97.7535209600863,https://www.yelp.com/biz/anthropologie-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Athleta,(512) 873-7563,30.40305,-97.72477,https://www.yelp.com/biz/athleta-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Coach,(512) 339-9994,30.4026428644153,-97.7269006130556,https://www.yelp.com/biz/coach-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Tiny's Western Shop,(512) 842-4141,30.35808,-97.7155,https://www.yelp.com/biz/tinys-western-shop-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Monogram Lady,(512) 345-9544,30.35668,-97.75897,https://www.yelp.com/biz/monogram-lady-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Still in Style,(512) 407-8861,30.3485305953954,-97.7347203344107,https://www.yelp.com/biz/still-in-style-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Tory Burch,(512) 490-6433,30.4032197094194,-97.722878255141,https://www.yelp.com/biz/tory-burch-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Beehive,(512) 347-0800,30.276175,-97.799473,https://www.yelp.com/biz/beehive-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Kendra Scott,(512) 879-3422,30.30603,-97.74329,https://www.yelp.com/biz/kendra-scott-austin-3?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Wear Art Thou,(512) 323-9500,30.309743,-97.741174,https://www.yelp.com/biz/wear-art-thou-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Torrid,(512) 821-2161,30.3969912522727,-97.727312583481,https://www.yelp.com/biz/torrid-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
El Interior,(512) 474-8680,30.27911,-97.75962,https://www.yelp.com/biz/el-interior-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
bevello,(512) 491-8114,30.4029119,-97.7249894,https://www.yelp.com/biz/bevello-austin-5?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
LOFT,(512) 833-6184,30.4018548,-97.7258177,https://www.yelp.com/biz/loft-austin-3?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Z Couture,(512) 380-9884,30.390484,-97.732434,https://www.yelp.com/biz/z-couture-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Diesel,(512) 833-0655,30.4015736237658,-97.7266295608521,https://www.yelp.com/biz/diesel-austin-3?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Billy Reid,(512) 354-1884,30.2726792,-97.7566186,https://www.yelp.com/biz/billy-reid-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Free People,(512) 491-0025,30.40305,-97.7223999,https://www.yelp.com/biz/free-people-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Ann Taylor,(512) 345-8307,30.395019,-97.752472,https://www.yelp.com/biz/ann-taylor-austin-4?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
bebe,(512) 834-2323,30.4012818,-97.7263555,https://www.yelp.com/biz/bebe-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
MJ White - CPA,(512) 436-0448,30.3748902,-97.7601775,https://www.yelp.com/biz/mj-white-cpa-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Linda Liu, CPA",(512) 986-7056,30.3662252,-97.7376096,https://www.yelp.com/biz/linda-liu-cpa-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Timothy W Hald CPA,(512) 363-5738,30.44708,-97.78107,https://www.yelp.com/biz/timothy-w-hald-cpa-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
AWG & Associates,(512) 258-0555,30.3535308259102,-97.7493753391046,https://www.yelp.com/biz/awg-and-associates-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Sumi Elangovan, CPA",(512) 380-1515,30.45906,-97.79437,https://www.yelp.com/biz/sumi-elangovan-cpa-austin-5?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Insogna, CPA",(512) 891-8200,30.274439,-97.803101,https://www.yelp.com/biz/insogna-cpa-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Blaine Gary, CPA, PLLC",(512) 459-8888,30.30893,-97.742961,https://www.yelp.com/biz/blaine-gary-cpa-pllc-austin-4?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Cube Tax Service,(512) 833-7856,30.392398,-97.720741,https://www.yelp.com/biz/cube-tax-service-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Egon Stockenbojer, CPA",(512) 450-0344,30.33152,-97.73336,https://www.yelp.com/biz/egon-stockenbojer-cpa-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Timothy R Rossmiller, CPA, PC",(512) 344-9897,30.4284438,-97.7592036,https://www.yelp.com/biz/timothy-r-rossmiller-cpa-pc-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Taxxtime!,(512) 444-4829,30.358048,-97.74699,https://www.yelp.com/biz/taxxtime-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Every Penny Counts Bookkeeping Service,(512) 917-5364,30.3317278,-97.705158,https://www.yelp.com/biz/every-penny-counts-bookkeeping-service-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Meck Noonan & Co, LLC, CPAs",(512) 346-9522,30.361587,-97.747863,https://www.yelp.com/biz/meck-noonan-and-co-llc-cpas-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Godwin & Associates, CPA's",(512) 615-2023,30.3738569,-97.7598165,https://www.yelp.com/biz/godwin-and-associates-cpas-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Accounting Office of Laura Cannon, CPAs",(512) 418-1041,30.3580474853516,-97.7469863891602,https://www.yelp.com/biz/accounting-office-of-laura-cannon-cpas-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Fourlane,(800) 931-2120,30.35355,-97.74936,https://www.yelp.com/biz/fourlane-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Paul Glantz, CPA",(512) 666-0729,30.270257,-97.740242,https://www.yelp.com/biz/paul-glantz-cpa-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Scott Greg W CPA,(512) 458-2722,30.34388,-97.73325,https://www.yelp.com/biz/scott-greg-w-cpa-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Gfeller & Kennedy,(512) 343-0560,30.37844,-97.74184,https://www.yelp.com/biz/gfeller-and-kennedy-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Gruenbein & Reed, PLLC",(512) 349-7333,30.3691223,-97.7559697,https://www.yelp.com/biz/gruenbein-and-reed-pllc-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Carpenter & Langford,(512) 795-0300,30.286068,-97.8128662,https://www.yelp.com/biz/carpenter-and-langford-west-lake-hills?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"KF Tax & Accounting, P.C.",(512) 244-1516,30.490305,-97.681745,https://www.yelp.com/biz/kf-tax-and-accounting-p-c-round-rock?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
TaxHelp,(512) 231-0252,30.320407,-97.670079,https://www.yelp.com/biz/taxhelp-austin-4?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Marci Shafto CPA,(512) 346-4499,30.3755691,-97.7611854,https://www.yelp.com/biz/marci-shafto-cpa-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
JF Bookkeeper,(512) 514-6217,30.35355,-97.74936,https://www.yelp.com/biz/jf-bookkeeper-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Shackelford Lisa M CPA,(512) 236-9236,30.3065166473389,-97.7520980834961,https://www.yelp.com/biz/shackelford-lisa-m-cpa-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"DK Partners, PC - CPA Firm",(512) 258-6637,30.2795679,-97.8190855,https://www.yelp.com/biz/dk-partners-pc-cpa-firm-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Sheryl L Josserand, CPA",(512) 861-0492,30.43506,-97.74309,https://www.yelp.com/biz/sheryl-l-josserand-cpa-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
CTX Payroll,(512) 910-3850,30.433653,-97.766379,https://www.yelp.com/biz/ctx-payroll-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Williams & Wong,(512) 956-9563,30.3555107116699,-97.7519683837891,https://www.yelp.com/biz/williams-and-wong-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"David Tucker, CPA",(512) 462-3656,30.3441182,-97.7071766,https://www.yelp.com/biz/david-tucker-cpa-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Iain Howe, CPA & Associates",(512) 695-1231,30.1580505371094,-97.8414306640625,https://www.yelp.com/biz/iain-howe-cpa-and-associates-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
"Abby Muthu, CPA",(512) 910-3850,30.43318,-97.76637,https://www.yelp.com/biz/abby-muthu-cpa-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Hollis CPA Firm,(512) 539-0440,30.3397903,-97.756012,https://www.yelp.com/biz/hollis-cpa-firm-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Cheryl Seale CPA PC,(512) 419-1249,30.3499,-97.73414,https://www.yelp.com/biz/cheryl-seale-cpa-pc-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
